Abbreviation,TeamName,GridPosition,Position,Status,Points,Laps,quali_position,quali_time_s,gap_to_pole_s,gap_to_pole_pct,q3_appearance,quali_sector1_gap,quali_sector2_gap,quali_sector3_gap,best_compound_used,fp2_avg_long_run_pace,fp2_tyre_deg_rate,air_temp,track_temp,humidity,wind_speed,is_wet_race,is_sprint_weekend,quali_position_delta,podium_finish,season,race_round,reg_era,driver_elo_pre,driver_elo_post,teammate_elo_pre,elo_vs_teammate_diff,EventName,circuit_type,dnf_type,is_driver_dnf,is_mech_dnf,is_dnf,driver_avg_finish_roll5,driver_avg_points_roll5,driver_error_dnf_rate_roll5,driver_avg_quali_roll5,driver_avg_quali_gap_roll5,team_avg_points_roll5,team_mech_dnf_rate_roll5,team_avg_quali_roll5
SIR,Williams,19.0,20.0,Brakes,0.0,4.0,19.0,84.922,3.757999999999996,4.630131585431959,0,1.2659999999999982,1.272000000000002,1.2199999999999989,ULTRASOFT,95.97583333333334,2.30237762237762,24.077477477477483,36.32432432432432,30.91531531531532,3.691891891891892,1,0,0.0,0,2018,1,pre_2022,1500.0,1484.0,1500.0,0.0,Australian Grand Prix,Street,mechanical,0,1,1,12.0,2.0,0.05,12.0,3.0,4.0,0.1,12.0
VET,Ferrari,1.0,1.0,Finished,25.0,57.0,1.0,87.958,0.0,0.0,1,0.0,0.0339999999999989,0.0,SUPERSOFT,96.16366666666666,0.1627642857142841,27.982524271844653,32.19805825242719,47.36310679611651,0.9582524271844662,0,0,0.0,1,2018,2,pre_2022,1506.4,1521.810804760876,1493.6,12.800000000000182,Bahrain Grand Prix,Power,none,0,0,0,1.0,25.0,0.0,3.0,0.8304174264452127,40.0,0.0,2.5
BOT,Mercedes,3.0,2.0,Finished,18.0,57.0,3.0,88.124,0.1659999999999968,0.1887264376179504,1,0.0249999999999985,0.1219999999999998,0.0530000000000008,SUPERSOFT,97.1345625,0.2029397058823506,27.982524271844653,32.19805825242719,47.36310679611651,0.9582524271844662,0,0,0.0,1,2018,2,pre_2022,1484.0,1501.4695015289756,1516.0,-32.0,Bahrain Grand Prix,Power,none,0,0,0,8.0,4.0,0.0,10.0,1.1396678330294183,22.0,0.0,5.5
HAM,Mercedes,9.0,3.0,Finished,15.0,57.0,4.0,88.22,0.2620000000000004,0.2978694376861689,1,0.0919999999999987,0.1310000000000002,0.0730000000000004,SUPERSOFT,97.06058333333333,0.2252902097902097,27.982524271844653,32.19805825242719,47.36310679611651,0.9582524271844662,0,0,-5.0,1,2018,2,pre_2022,1516.0,1498.5304984710244,1484.0,32.0,Bahrain Grand Prix,Power,none,0,0,0,2.0,18.0,0.0,1.0,0.0,22.0,0.0,5.5
GAS,Toro Rosso,5.0,4.0,Finished,12.0,57.0,6.0,89.329,1.3709999999999951,1.558698469724181,1,0.4239999999999995,0.6119999999999948,0.3689999999999998,SUPERSOFT,96.90653846153847,-0.0382307692307688,27.982524271844653,32.19805825242719,47.36310679611651,0.9582524271844662,0,0,1.0,0,2018,2,pre_2022,1484.0,1501.4695015289756,1516.0,-32.0,Bahrain Grand Prix,Power,none,0,0,0,18.0,0.0,0.0,20.0,5.089694938642748,0.0,0.5,18.0
MAG,Haas F1 Team,6.0,5.0,Finished,10.0,57.0,7.0,89.358,1.4000000000000057,1.5916687509947995,1,0.5700000000000003,0.5559999999999974,0.3079999999999998,SUPERSOFT,97.4532,0.1969212121212118,27.982524271844653,32.19805825242719,47.36310679611651,0.9582524271844662,0,0,1.0,0,2018,2,pre_2022,1493.6,1510.189195239124,1506.4,-12.800000000000182,Bahrain Grand Prix,Power,none,0,0,0,17.0,0.0,0.0,6.0,2.492484352668666,0.0,1.0,6.5
HUL,Renault,7.0,6.0,Finished,8.0,57.0,8.0,89.57,1.6119999999999948,1.832692876145427,1,0.593,0.5030000000000001,0.166999999999998,SUPERSOFT,97.55223076923076,0.1684120879120905,27.982524271844653,32.19805825242719,47.36310679611651,0.9582524271844662,0,0,1.0,0,2018,2,pre_2022,1516.0,1530.5304984710244,1484.0,32.0,Bahrain Grand Prix,Power,none,0,0,0,7.0,6.0,0.0,8.0,2.917549652555314,7.0,0.0,8.5
ALO,McLaren,13.0,7.0,+1 Lap,6.0,56.0,13.0,90.212,2.254000000000005,2.5625866891016225,0,0.9740000000000002,0.7809999999999988,0.5330000000000013,SUPERSOFT,96.5334,0.1760969696969712,27.982524271844653,32.19805825242719,47.36310679611651,0.9582524271844662,0,0,0.0,0,2018,2,pre_2022,1516.0,1530.5304984710244,1484.0,32.0,Bahrain Grand Prix,Power,none,0,0,0,5.0,10.0,0.0,11.0,3.1146813858360747,12.0,0.0,11.5
VAN,McLaren,14.0,8.0,+1 Lap,4.0,56.0,14.0,90.525,2.5670000000000077,2.918438345574032,0,1.0090000000000003,1.0519999999999996,0.4939999999999998,SUPERSOFT,97.09216666666669,0.1372517482517486,27.982524271844653,32.19805825242719,47.36310679611651,0.9582524271844662,0,0,0.0,0,2018,2,pre_2022,1484.0,1469.4695015289756,1516.0,-32.0,Bahrain Grand Prix,Power,none,0,0,0,9.0,2.0,0.0,12.0,3.313045192449846,12.0,0.0,11.5
ERI,Sauber,17.0,9.0,+1 Lap,2.0,56.0,17.0,91.063,3.105000000000004,3.530093908456313,0,1.1099999999999994,1.2509999999999977,0.7779999999999987,SUPERSOFT,97.6433125,0.1239249999999988,27.982524271844653,32.19805825242719,47.36310679611651,0.9582524271844662,0,0,0.0,0,2018,2,pre_2022,1493.6,1510.189195239124,1506.4,-12.800000000000182,Bahrain Grand Prix,Power,none,0,0,0,19.0,0.0,0.0,17.0,4.17919274555221,0.0,0.5,17.5
OCO,Force India,8.0,10.0,+1 Lap,1.0,56.0,9.0,89.874,1.9159999999999968,2.1783123763614416,1,0.5449999999999982,0.8320000000000007,0.5730000000000004,SUPERSOFT,97.31788888888887,0.1541833333333317,27.982524271844653,32.19805825242719,47.36310679611651,0.9582524271844662,0,0,1.0,0,2018,2,pre_2022,1484.0,1501.4695015289756,1516.0,-32.0,Bahrain Grand Prix,Power,none,0,0,0,12.0,0.0,0.0,15.0,4.462569612143315,0.0,0.0,14.0
SAI,Renault,10.0,11.0,+1 Lap,0.0,56.0,10.0,89.986,2.028000000000006,2.3056458764410355,1,0.6720000000000006,0.8290000000000006,0.3769999999999989,SUPERSOFT,97.23411111111112,0.0489333333333275,27.982524271844653,32.19805825242719,47.36310679611651,0.9582524271844662,0,0,0.0,0,2018,2,pre_2022,1484.0,1469.4695015289756,1516.0,-32.0,Bahrain Grand Prix,Power,none,0,0,0,10.0,1.0,0.0,9.0,2.972992952540531,7.0,0.0,8.5
LEC,Sauber,19.0,12.0,+1 Lap,0.0,56.0,19.0,91.42,3.4620000000000037,3.935969439959985,0,1.4149999999999991,1.4140000000000017,0.666999999999998,SUPERSOFT,97.7157894736842,0.0613385964912272,27.982524271844653,32.19805825242719,47.36310679611651,0.9582524271844662,0,0,0.0,0,2018,2,pre_2022,1506.4,1489.810804760876,1493.6,12.800000000000182,Bahrain Grand Prix,Power,none,0,0,0,13.0,0.0,0.0,18.0,4.27775861219259,0.0,0.5,17.5
GRO,Haas F1 Team,16.0,13.0,+1 Lap,0.0,56.0,16.0,90.53,2.5720000000000027,2.92412287682758,0,0.7929999999999993,1.043999999999997,0.7689999999999984,SUPERSOFT,97.75,0.2621909090909082,27.982524271844653,32.19805825242719,47.36310679611651,0.9582524271844662,0,0,0.0,0,2018,2,pre_2022,1506.4,1489.810804760876,1493.6,12.800000000000182,Bahrain Grand Prix,Power,none,0,0,0,16.0,0.0,0.0,7.0,2.6797594992853937,0.0,1.0,6.5
STR,Williams,20.0,14.0,+1 Lap,0.0,56.0,20.0,91.503,3.5450000000000017,4.03033265876896,0,1.1179999999999986,1.6469999999999985,0.8140000000000001,SUPERSOFT,97.85688888888888,0.281833333333328,27.982524271844653,32.19805825242719,47.36310679611651,0.9582524271844662,0,0,0.0,0,2018,2,pre_2022,1516.0,1520.9304984710245,1484.0,32.0,Bahrain Grand Prix,Power,none,0,0,0,14.0,0.0,0.0,14.0,3.77753683899266,0.0,0.5,16.5
SIR,Williams,18.0,15.0,+1 Lap,0.0,56.0,18.0,91.414,3.456000000000003,3.9291480024557215,0,1.1329999999999991,1.5949999999999989,0.7620000000000005,SUPERSOFT,98.13436363636362,0.0674727272727281,27.982524271844653,32.19805825242719,47.36310679611651,0.9582524271844662,0,0,0.0,0,2018,2,pre_2022,1484.0,1479.0695015289755,1516.0,-32.0,Bahrain Grand Prix,Power,none,0,0,0,20.0,0.0,0.0,19.0,4.630131585431959,0.0,0.5,16.5
PER,Force India,12.0,16.0,+1 Lap,0.0,56.0,12.0,90.156,2.1980000000000075,2.498919939061833,0,0.5749999999999993,1.091000000000001,0.565999999999999,SUPERSOFT,97.874625,0.1856547619047592,27.982524271844653,32.19805825242719,47.36310679611651,0.9582524271844662,0,0,0.0,0,2018,2,pre_2022,1516.0,1498.5304984710244,1484.0,32.0,Bahrain Grand Prix,Power,none,0,0,0,11.0,0.0,0.0,13.0,3.500320339066574,0.0,0.0,14.0
HAR,Toro Rosso,11.0,17.0,+1 Lap,0.0,56.0,11.0,90.105,2.1470000000000056,2.4409377202755924,0,0.6920000000000002,1.0589999999999975,0.4299999999999997,SUPERSOFT,97.49323076923076,0.0573351648351622,27.982524271844653,32.19805825242719,47.36310679611651,0.9582524271844662,0,0,0.0,0,2018,2,pre_2022,1516.0,1498.5304984710244,1484.0,32.0,Bahrain Grand Prix,Power,none,0,0,0,15.0,0.0,0.0,16.0,4.149622985560094,0.0,0.5,18.0
RAI,Ferrari,2.0,18.0,Wheel,0.0,35.0,2.0,88.101,0.1430000000000006,0.1625775938516117,1,0.0629999999999988,0.0,0.1140000000000007,SUPERSOFT,96.08544444444443,-0.0358166666666684,27.982524271844653,32.19805825242719,47.36310679611651,0.9582524271844662,0,0,0.0,0,2018,2,pre_2022,1493.6,1478.189195239124,1506.4,-12.800000000000182,Bahrain Grand Prix,Power,mechanical,0,1,1,3.0,15.0,0.0,2.0,0.818096693115176,40.0,0.0,2.5
VER,Red Bull Racing,15.0,19.0,Puncture,0.0,3.0,15.0,89.374,1.4159999999999968,1.6098592510061585,0,0.7429999999999986,0.5319999999999965,0.1750000000000007,SUPERSOFT,95.674625,-0.0056309523809567,27.982524271844653,32.19805825242719,47.36310679611651,0.9582524271844662,0,0,0.0,0,2018,2,pre_2022,1493.6,1500.589195239124,1506.4,-12.800000000000182,Bahrain Grand Prix,Power,mechanical,0,1,1,6.0,8.0,0.0,4.0,0.8809324330984222,20.0,0.0,4.5
RIC,Red Bull Racing,4.0,20.0,Electrical,0.0,1.0,5.0,88.398,0.4399999999999977,0.5002387503126466,1,0.2859999999999978,0.1829999999999998,0.004999999999999,SUPERSOFT,95.74854545454544,-0.0931363636363615,27.982524271844653,32.19805825242719,47.36310679611651,0.9582524271844662,0,0,1.0,0,2018,2,pre_2022,1506.4,1499.410804760876,1493.6,12.800000000000182,Bahrain Grand Prix,Power,mechanical,0,1,1,4.0,12.0,0.0,5.0,1.2172884530087225,20.0,0.0,4.5
RIC,Red Bull Racing,6.0,1.0,Finished,25.0,56.0,6.0,91.948,0.8529999999999944,0.9363850924858604,1,0.3539999999999992,0.1979999999999968,0.3519999999999967,ULTRASOFT,99.45971428571428,0.1016785714285689,19.446428571428573,37.01964285714286,24.089285714285715,1.8375,1,0,0.0,1,2018,3,pre_2022,1499.410804760876,1505.8650714397695,1500.589195239124,-1.1783904782478203,Chinese Grand Prix,Balanced,none,0,0,0,12.0,6.0,0.0,5.0,0.8587636016606846,10.0,0.5,7.25
BOT,Mercedes,3.0,2.0,Finished,18.0,56.0,3.0,91.625,0.5300000000000011,0.5818101981447952,1,0.3159999999999989,0.1589999999999989,0.1059999999999945,ULTRASOFT,100.73442857142857,0.0519999999999945,19.446428571428573,37.01964285714286,24.089285714285715,1.8375,1,0,0.0,1,2018,3,pre_2022,1501.4695015289756,1517.3341586646084,1498.5304984710244,2.9390030579511404,Chinese Grand Prix,Balanced,none,0,0,0,5.0,11.0,0.0,6.5,0.6641971353236844,27.5,0.0,4.5
RAI,Ferrari,2.0,3.0,Finished,15.0,56.0,2.0,91.182,0.0870000000000033,0.0955046929030169,1,0.0,0.0,0.1379999999999981,ULTRASOFT,,,19.446428571428573,37.01964285714286,24.089285714285715,1.8375,1,0,0.0,1,2018,3,pre_2022,1478.189195239124,1486.5875551802214,1521.810804760876,-43.62160952175191,Chinese Grand Prix,Balanced,none,0,0,0,10.5,7.5,0.0,2.0,0.49033714348339386,32.5,0.25,2.0
HAM,Mercedes,4.0,4.0,Finished,12.0,56.0,4.0,91.675,0.5799999999999983,0.6366979526867538,1,0.3350000000000008,0.1799999999999997,0.1159999999999996,ULTRASOFT,99.199875,-0.0184404761904755,19.446428571428573,37.01964285714286,24.089285714285715,1.8375,1,0,0.0,0,2018,3,pre_2022,1498.5304984710244,1482.6658413353916,1501.4695015289756,-2.9390030579511404,Chinese Grand Prix,Balanced,none,0,0,0,2.5,16.5,0.0,2.5,0.14893471884308446,27.5,0.0,4.5
VER,Red Bull Racing,5.0,5.0,Finished,10.0,56.0,5.0,91.796,0.7010000000000076,0.7695263186783112,1,0.1649999999999991,0.1969999999999991,0.3900000000000005,ULTRASOFT,99.0952,0.0194060606060579,19.446428571428573,37.01964285714286,24.089285714285715,1.8375,1,0,0.0,0,2018,3,pre_2022,1500.589195239124,1494.1349285602305,1499.410804760876,1.1783904782478203,Chinese Grand Prix,Balanced,none,0,0,0,12.5,4.0,0.0,9.5,1.2453958420522904,10.0,0.5,7.25
HUL,Renault,7.0,6.0,Finished,8.0,56.0,7.0,92.532,1.4369999999999976,1.5774740655359762,1,0.4649999999999998,0.5619999999999976,0.4229999999999947,ULTRASOFT,99.9616,0.2433818181818144,19.446428571428573,37.01964285714286,24.089285714285715,1.8375,1,0,0.0,0,2018,3,pre_2022,1530.5304984710244,1543.747133633611,1469.4695015289756,61.06099694204886,Chinese Grand Prix,Balanced,none,0,0,0,6.5,7.0,0.0,8.0,2.3751212643503705,7.5,0.0,8.75
ALO,McLaren,13.0,7.0,Finished,6.0,56.0,13.0,93.232,2.1370000000000005,2.345902629123443,0,0.6219999999999999,0.7899999999999991,0.7759999999999962,ULTRASOFT,99.8333,0.0700545454545439,19.446428571428573,37.01964285714286,24.089285714285715,1.8375,1,0,0.0,0,2018,3,pre_2022,1530.5304984710244,1543.747133633611,1469.4695015289756,61.06099694204886,Chinese Grand Prix,Balanced,none,0,0,0,6.0,8.0,0.0,12.0,2.8386340374688483,11.0,0.0,12.5
VET,Ferrari,1.0,8.0,Finished,4.0,56.0,1.0,91.095,0.0,0.0,1,0.0380000000000002,0.0129999999999981,0.0,ULTRASOFT,99.633,0.4062285714285752,19.446428571428573,37.01964285714286,24.089285714285715,1.8375,1,0,0.0,0,2018,3,pre_2022,1521.810804760876,1513.4124448197786,1478.189195239124,43.62160952175191,Chinese Grand Prix,Balanced,none,0,0,0,1.0,25.0,0.0,2.0,0.41520871322260633,32.5,0.25,2.0
SAI,Renault,9.0,9.0,Finished,2.0,56.0,9.0,92.819,1.7240000000000038,1.8925297766068432,1,0.5730000000000004,0.5769999999999982,0.625,ULTRASOFT,100.25825,0.3804761904761873,19.446428571428573,37.01964285714286,24.089285714285715,1.8375,1,0,0.0,0,2018,3,pre_2022,1469.4695015289756,1456.252866366389,1530.5304984710244,-61.06099694204886,Chinese Grand Prix,Balanced,none,0,0,0,10.5,0.5,0.0,9.5,2.6393194144907834,7.5,0.0,8.75
MAG,Haas F1 Team,11.0,10.0,Finished,1.0,56.0,11.0,92.986,1.8910000000000051,2.075854876776997,0,0.5599999999999987,0.754999999999999,0.6269999999999953,ULTRASOFT,101.3641,0.0856545454545474,19.446428571428573,37.01964285714286,24.089285714285715,1.8375,1,0,0.0,0,2018,3,pre_2022,1510.189195239124,1515.6518103789338,1489.810804760876,20.378390478248093,Chinese Grand Prix,Balanced,none,0,0,0,11.0,5.0,0.0,6.5,2.042076551831733,5.0,0.5,9.0
OCO,Force India,12.0,11.0,Finished,0.0,56.0,12.0,93.057,1.9620000000000035,2.15379548822658,0,0.4750000000000014,0.6929999999999978,0.8449999999999989,ULTRASOFT,100.17385714285714,0.2358928571428589,19.446428571428573,37.01964285714286,24.089285714285715,1.8375,1,0,0.0,0,2018,3,pre_2022,1501.4695015289756,1507.7341586646085,1498.5304984710244,2.9390030579511404,Chinese Grand Prix,Balanced,none,0,0,0,11.0,0.5,0.0,12.0,3.3204409942523783,0.5,0.0,12.25
PER,Force India,8.0,12.0,Finished,0.0,56.0,8.0,92.758,1.6629999999999967,1.825566716065642,1,0.4929999999999985,0.629999999999999,0.5910000000000011,ULTRASOFT,99.984,0.7109761904761863,19.446428571428573,37.01964285714286,24.089285714285715,1.8375,1,0,0.0,0,2018,3,pre_2022,1498.5304984710244,1492.2658413353915,1501.4695015289756,-2.9390030579511404,Chinese Grand Prix,Balanced,none,0,0,0,13.5,0.0,0.0,12.5,2.9996201390642034,0.5,0.0,12.25
VAN,McLaren,14.0,13.0,Finished,0.0,56.0,14.0,93.505,2.4099999999999966,2.6455897689225494,0,0.8569999999999993,0.9229999999999984,0.6809999999999974,ULTRASOFT,99.7727,0.1065272727272747,19.446428571428573,37.01964285714286,24.089285714285715,1.8375,1,0,0.0,0,2018,3,pre_2022,1469.4695015289756,1456.252866366389,1530.5304984710244,-61.06099694204886,Chinese Grand Prix,Balanced,none,0,0,0,8.5,3.0,0.0,13.0,3.1157417690119393,11.0,0.0,12.5
STR,Williams,18.0,14.0,Finished,0.0,56.0,18.0,94.285,3.1899999999999977,3.501838739777153,0,1.0390000000000017,0.9419999999999966,1.259999999999998,ULTRASOFT,102.48228571428572,1.1792142857142909,19.446428571428573,37.01964285714286,24.089285714285715,1.8375,1,0,0.0,0,2018,3,pre_2022,1520.9304984710245,1525.4120028132684,1479.0695015289755,41.86099694204904,Chinese Grand Prix,Balanced,none,0,0,0,14.0,0.0,0.0,17.0,3.90393474888081,0.0,0.25,17.75
